diputado_id,diputado_apellido,diputado_nombre,diputado_genero,diputado_distrito,mandato_inicio,mandato_fin,diputado_juramento,diputado_cese,diputado_bloque,bloque_inicio,bloque_fin
HCDN1136,Abdala de Matarazzo,Norma Amanda,F,SANTIAGO DEL ESTERO,2009-12-10T00:00:00,2013-12-09T00:00:00,2009-12-03T00:00:00,2013-12-09T00:00:00,FRENTE CIVICO POR SANTIAGO,2009-12-10T00:00:00,2013-12-09T00:00:00
HCDN1136,Abdala de Matarazzo,Norma Amanda,F,SANTIAGO DEL ESTERO,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,FRENTE CIVICO POR SANTIAGO,2013-12-10T00:00:00,2017-12-09T00:00:00
HCDN1136,Abdala de Matarazzo,Norma Amanda,F,SANTIAGO DEL ESTERO,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-06T00:00:00,2021-12-09T00:00:00,FRENTE CIVICO POR SANTIAGO,2017-12-10T00:00:00,2019-12-09T00:00:00
HCDN1136,Abdala de Matarazzo,Norma Amanda,F,SANTIAGO DEL ESTERO,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-06T00:00:00,2021-12-09T00:00:00,FRENTE DE TODOS,2019-12-10T00:00:00,2021-12-09T00:00:00
HCDN1382,ABRAHAM,ALEJANDRO,M,MENDOZA,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2013-12-13T00:00:00,2017-12-09T00:00:00
HCDN1441,ACERENZA,SAMANTA MARIA CELESTE,F,BUENOS AIRES,2015-12-10T00:00:00,2019-12-09T00:00:00,2015-12-04T00:00:00,2019-12-09T00:00:00,UNION PRO,2015-12-10T00:00:00,2017-12-09T00:00:00
HCDN1441,ACERENZA,SAMANTA MARIA CELESTE,F,BUENOS AIRES,2015-12-10T00:00:00,2019-12-09T00:00:00,2015-12-04T00:00:00,2019-12-09T00:00:00,PRO,2017-12-10T00:00:00,2019-12-09T00:00:00
HCDN0970,ACOSTA,MARIA JULIA,F,CATAMARCA,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-05T00:00:00,2011-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2007-12-10T00:00:00,2011-12-09T00:00:00
HCDN0971,AGOSTO,WALTER ALFREDO,M,SANTA FE,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-05T00:00:00,2011-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2007-12-10T00:00:00,2009-02-23T00:00:00
HCDN0971,AGOSTO,WALTER ALFREDO,M,SANTA FE,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-05T00:00:00,2011-12-09T00:00:00,SANTA FE FEDERAL,2009-02-24T00:00:00,2009-12-09T00:00:00
HCDN0971,AGOSTO,WALTER ALFREDO,M,SANTA FE,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-05T00:00:00,2011-12-09T00:00:00,PERONISMO FEDERAL,2009-12-10T00:00:00,2011-12-09T00:00:00
HCDN0845,AGUAD,OSCAR RAUL,M,CORDOBA,2009-12-10T00:00:00,2013-12-09T00:00:00,2009-12-03T00:00:00,2013-12-09T00:00:00,UCR,2009-12-10T00:00:00,2013-12-09T00:00:00
HCDN0845,AGUAD,OSCAR RAUL,M,CORDOBA,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2015-12-09T00:00:00,UCR,2013-12-10T00:00:00,2015-12-09T00:00:00
HCDN1232,AGUILAR,LINO WALTER,M,SAN LUIS,2011-12-10T00:00:00,2015-12-09T00:00:00,2011-12-06T00:00:00,2015-12-09T00:00:00,FRENTE PERONISTA,2011-12-10T00:00:00,2013-09-16T00:00:00
HCDN1232,AGUILAR,LINO WALTER,M,SAN LUIS,2011-12-10T00:00:00,2015-12-09T00:00:00,2011-12-06T00:00:00,2015-12-09T00:00:00,COMPROMISO FEDERAL,2013-09-17T00:00:00,2015-12-09T00:00:00
HCDN2757,AGUIRRE,HILDA CLELIA,F,LA RIOJA,2019-12-10T00:00:00,2023-12-09T00:00:00,2019-12-04T00:00:00,2023-12-09T00:00:00,FRENTE DE TODOS,2019-12-10T00:00:00,2023-12-09T00:00:00
HCDN0972,AGUIRRE DE SORIA,HILDA CLELIA,F,LA RIOJA,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-05T00:00:00,2011-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2007-12-10T00:00:00,2011-12-09T00:00:00
HCDN2349,AICEGA,JUAN,M,BUENOS AIRES,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-06T00:00:00,2021-12-09T00:00:00,PRO,2017-12-10T00:00:00,2021-12-09T00:00:00
HCDN1101,ALBARRACIN,JORGE LUIS,M,MENDOZA,2009-12-10T00:00:00,2013-12-09T00:00:00,2011-12-06T00:00:00,2013-12-09T00:00:00,UCR,2011-12-10T00:00:00,2013-12-09T00:00:00
